company,client,nb_avis_client,date_commande,notes,titre_commentaire,commentaire,date_commentaire,reponse_sav,date_reponse_sav,delai_reponse_sav
Sephora,latcie,2,2017-02-10,5,j adore le site,"j aime le site Sephora!!une de mes commandes que j ai pas reçu car le facteur a mal fait son travail! J ai appelé le site,impeccable,aimable,serviable et professionnel,comparait a d autres sites!(Nocibé).je recommande ce site",2017-02-10,,,
Sephora,Angel DC,6,2018-12-28,4,Livraison rapide,"Livraison rapide, le site est pas trop mal mais l’appli bug trop souvent ! Il y a régulièrement des offres promotionnelles mais malheureusement elles ne s’appliquent pas à toutes les marques certaines sont systématiquement exclus de toutes promo ! Le service client est plutôt pas mal j’ai commandé une palette et j’ai reçu un bouchon de rouge à lèvre ... très déçu car au final je n’ai pas eu la palette mais cependant le remboursement a été très rapide. Ça fait toujours plaisir d’avoir un cadeau d’anniversaire chaque année grâce au programme de fidélité.",2018-12-28,,,
Sephora,Gwen D,1,2021-02-08,2,Très très long pour recevoir sa commande,Date de l'expérience: 08 février 2021,2021-02-08,,,
Sephora,Nana,13,2017-01-13,5,La beauté par excellence,On trouve de tout à tout les prix Site bien fait apart quelques marques qui ne fonctionne pas depuis l appli Mais souvent des reducs et prix mieux placer comparer à d autres parfumerie,2017-01-13,,,
Sephora,Fournier,3,2014-03-04,4,De très bons conseils,"J'adore les magasins Séphora, certaines enseignes sont parfois moins accueillantes que d'autres, mais les conseils sont toujours très précis et pro. Je reviendrai avec plaisir !",2014-03-04,,,
Sephora,JOSIANE,2,2017-01-13,4,Super produits,Satisfaite des vendeuses qui on réussit à me changer ds mes choix. J étais resté sur mes apriori et franchement j'ai tout revu mes couleurs mon style...merci j'adore,2017-01-13,,,
Sephora,nora,16,2017-02-03,1,decue,decu par les prix propose,2017-02-03,,,
Sephora,Eric,35,2014-11-16,5,Excellent !,"Ce site est très bon et l'expédition rapide. Vous pouvez trouver beaucoup de parfums, eaux de toilette et autres cosmétiques, c'est du sérieux!",2014-11-16,,,
Sephora,Lucia,19,2016-01-15,5,Super,"J'ai pu tester les produits en magasin et le site Sephora.com. Moi et ma famille avons toujours été très satisfaits par cette enseigne, que ce soit en magasin ou avec leur site internet. Lors d'une commande par internet, celle-ci arrive rapidement et de manière soignée. De plus, le choix en matière de produits est très large (Parfums homme/femme, produits de beauté pour visage et corps, maquillage...), et si vous avez une carte fidélité, vous pouvez bénéficier de réductions qui peuvent être intéressantes! Vous bénéficiez aussi de très judicieux conseils de la part des vendeuses en matière de maquillage, qui vous aident à choisir ce qui correspond le mieux à votre peau et à vos goûts! Pour information, je vis dans le Haut-Rhin (Alsace).",2016-01-15,,,
Sephora,Stéphanie Brunel,5,2018-12-04,5,Beaucoup de choix sur le site et jamais…,Beaucoup de choix sur le site et jamais déçue par le service que ce soit en boutique ou sur internet.Vivement que je passe client Gold !,2018-12-04,,,
Sephora,Thomas FADELA,3,2020-04-14,5,Très bon site,"Très bon site, j'ai acheté mon parfum à -20% grace au coupon cadeau.Merci à vous",2020-04-14,,,
Sephora,COTIBI,8,2021-12-22,5,Une excellente parfumerie,Parfumerie bien achalandée aux prix du marché. On est conseillé utilement.,2021-12-22,,,
Sephora,Maude Herna,2,2021-12-27,5,Toujours bien accueilli et mes produits…,Toujours bien accueilli et mes produits favoris toujours disponibles.,2021-12-27,,,
Sephora,ANNA,19,2021-01-09,5,Livraison très rapide,Livraison très rapideTrès bons produitsEmballages soignés,2021-01-09,,,
Sephora,boubouche,52,2012-03-20,5,très bon,clair beaucoup d'offre de promotion et de privilège.,2012-03-20,,,
Sephora,Yana,2,2016-12-23,3,Mitigée,traitement différent en fonction des magasins.,2016-12-23,,,
Marionnaud,Stéphanie Pinel-Le Borgne,1,2023-12-18,5,Bonnes expériences !,"Voilà plusieurs fois que je commande sur le site Marionnaud, je trouve les prix plus intéressants qu’ailleurs. La livraison est très rapide, les produits bien conditionnés. J’apprécie de recevoir des échantillons. Lors de ma dernière commande, parmi les petits échantillons un gel douche de taille standard était même joint ! J’avais aussi demandé l’emballage cadeau offert : il était magnifique.",2023-12-23,,,
